latestAction,number,originChamber,title,type,updateDate,updateDateIncludingText
"{'actionDate': '2023-07-27', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2565,Senate,A bill to remove linguistic barriers to participation in Gun Violence Prevention Strategies.,S,2023-07-28,2023-07-28T20:17:38Z
"{'actionDate': '2023-07-27', 'text': 'Referred to the House Committee on Energy and Commerce.'}",5010,House,"To require the Secretary of Health and Human Services, in coordination with the Director of the Centers for Disease Control and Prevention, to submit to the Congress an annual report on the effects of gun violence on public health.",HR,2023-08-05,2023-08-05T07:15:37Z
"{'actionDate': '2023-07-20', 'text': 'Referred to the Committee on the Judiciary, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.'}",4780,House,Language Access to Gun Violence Prevention Strategies Act of 2023,HR,2023-08-09,2023-08-09T17:30:28Z
"{'actionDate': '2023-07-17', 'text': 'Referred to the House Committee on the Judiciary.'}",4679,House,Ghost Guns and Untraceable Firearms Act of 2023,HR,2023-08-09,2023-08-09T11:45:24Z
"{'actionDate': '2023-07-13', 'text': 'Referred to the House Committee on Oversight and Accountability.'}",591,House,"Condemning the horrific gun violence in Fort Worth, Texas, and acknowledging the human toll of gun violence in this country.",HRES,2023-07-28,2023-07-28T19:44:18Z
"{'actionDate': '2023-06-30', 'text': 'Referred to the Committee on Ways and Means, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.'}",4436,House,Why Does the IRS Need Guns Act,HR,2023-08-07,2023-08-07T15:30:28Z
"{'actionDate': '2023-06-23', 'text': 'Referred to the Subcommittee on Innovation, Data, and Commerce.'}",4283,House,Gun Violence Prevention and Safe Communities Act of 2023,HR,2023-08-07,2023-08-07T14:45:23Z
"{'actionDate': '2023-06-21', 'text': 'Referred to the House Committee on Energy and Commerce.'}",530,House,"Expressing support for the designation of June 21, 2023, as National ASK (Asking Saves Kids) Day to promote children's health and safe storage of guns in the home.",HRES,2023-07-28,2023-07-28T20:05:15Z
"{'actionDate': '2023-06-20', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2048,Senate,Equal Access to Justice for Victims of Gun Violence Act,S,2023-07-28,2023-07-28T20:16:51Z
"{'actionDate': '2023-06-15', 'text': 'Referred to the House Committee on Financial Services.'}",4158,House,Gun Violence Prevention Through Financial Intelligence Act,HR,2023-07-28,2023-07-28T20:12:02Z
"{'actionDate': '2023-06-15', 'text': 'Referred to the House Committee on the Judiciary.'}",4184,House,Equal Access to Justice for Victims of Gun Violence Act of 2023,HR,2023-08-09,2023-08-09T07:15:29Z
"{'actionDate': '2023-06-14', 'text': 'Sponsor introductory remarks on measure. (CR H2893-2894)'}",3962,House,Resources for Victims of Gun Violence Act of 2023,HR,2023-07-28,2023-07-28T19:44:18Z
"{'actionDate': '2023-06-13', 'text': 'Read twice and referred to the Committee on Finance.'}",1949,Senate,Why Does the IRS Need Guns Act,S,2023-08-07,2023-08-07T15:30:29Z
"{'actionDate': '2023-06-13', 'text': 'Referred to the House Committee on the Judiciary.'}",4074,House,3D Printed Gun Safety Act of 2023,HR,2023-07-28,2023-07-28T20:11:57Z
"{'actionDate': '2023-06-09', 'text': 'Referred to the House Committee on the Judiciary.'}",3993,House,"To provide a private right of action against the maker of any component of a ghost gun, and any person who facilitated a sale of the ghost gun, for injury or death resulting from the use of the ghost gun.",HR,2023-07-28,2023-07-28T20:11:51Z
"{'actionDate': '2023-06-08', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",1893,Senate,Resources for Victims of Gun Violence Act of 2023,S,2023-07-28,2023-07-28T20:16:39Z
"{'actionDate': '2023-06-07', 'text': 'Referred to the House Committee on the Judiciary.'}",3931,House,Angellyh Yambo Gun Free Zone Expansion Act of 2023,HR,2023-07-28,2023-07-28T20:11:44Z
"{'actionDate': '2023-06-06', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",1826,Senate,Keeping Gun Dealers Honest Act of 2023,S,2023-07-28,2023-07-28T20:16:33Z
"{'actionDate': '2023-06-06', 'text': 'Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.'}",1825,Senate,Gun Violence Prevention Through Financial Intelligence Act,S,2023-07-28,2023-07-28T20:16:33Z
"{'actionDate': '2023-06-06', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",1819,Senate,3D Printed Gun Safety Act of 2023,S,2023-07-28,2023-07-28T20:16:33Z
"{'actionDate': '2023-06-06', 'text': 'Referred to the House Committee on the Judiciary.'}",3863,House,Keeping Gun Dealers Honest Act of 2023,HR,2023-07-28,2023-07-28T20:11:39Z
"{'actionDate': '2023-06-01', 'text': 'Read twice and referred to the Committee on Armed Services.'}",1794,Senate,"A bill to waive time limitations in order to allow the Medal of Honor to be awarded to Gary Lee McKiddy, of Miamisburg, Ohio, for acts of valor while a helicopter crew chief and door gunner with the 1st Calvary Division during the Vietnam War.",S,2023-07-28,2023-07-28T20:16:31Z
"{'actionDate': '2023-06-01', 'text': 'Referred to the Committee on the Judiciary. (text: CR S1901)'}",231,Senate,"A resolution expressing support for the designation of June 2, 2023, as ""National Gun Violence Awareness Day"" and June 2023 as ""National Gun Violence Awareness Month"".",SRES,2023-07-28,2023-07-28T20:13:40Z
"{'actionDate': '2023-05-31', 'text': 'Referred to the House Committee on the Judiciary.'}",459,House,"Expressing support for the designation of June 2, 2023, as ""National Gun Violence Awareness Day"" and June 2023 as ""National Gun Violence Awareness Month"".",HRES,2023-07-28,2023-07-28T20:05:06Z
"{'actionDate': '2023-05-25', 'text': 'Referred to the Committee on the Judiciary, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.'}",3687,House,Protect Children Through Safe Gun Ownership Act,HR,2023-07-28,2023-07-28T19:44:18Z
"{'actionDate': '2023-05-18', 'text': 'Read twice and referred to the Committee on Homeland Security and Governmental Affairs.'}",1680,Senate,Gun Owner Registration Information Protection Act,S,2023-07-28,2023-07-28T20:16:23Z
"{'actionDate': '2023-05-18', 'text': 'Referred to the House Committee on the Judiciary.'}",3492,House,Gun Owner Registration Information Protection Act,HR,2023-07-28,2023-07-28T20:11:06Z
"{'actionDate': '2023-05-09', 'text': 'Referred to the House Committee on the Judiciary.'}",3155,House,Protecting the Second Amendment through Responsible Gun Ownership Act,HR,2023-07-28,2023-07-28T20:10:37Z
"{'actionDate': '2023-05-05', 'text': 'Referred to the Subcommittee on Health.'}",348,House,Declaring gun violence a public health crisis.,HRES,2023-08-05,2023-08-05T07:15:23Z
"{'actionDate': '2023-05-05', 'text': 'Referred to the House Committee on the Judiciary.'}",3122,House,Gun Show Loophole Closing Act of 2023,HR,2023-07-28,2023-07-28T20:10:35Z
"{'actionDate': '2023-04-27', 'text': 'Referred to the House Committee on Oversight and Accountability.'}",335,House,"Condemning the horrific shootings that occurred in Louisville, Kentucky, on April 10, 2023, in the Old National Bank building, and on April 15, 2023, in Chickasaw Park, honoring the memory of the victims of the attacks, expressing condolences and support to all those impacted by these tragedies, and reaffirming the commitment of the House of Representatives to support all victims of gun violence.",HRES,2023-07-28,2023-07-28T20:04:54Z
"{'actionDate': '2023-04-26', 'text': 'Referred to the House Committee on the Judiciary.'}",2897,House,End Gun Violence Act of 2023,HR,2023-08-05,2023-08-05T07:15:32Z
"{'actionDate': '2023-04-17', 'text': 'Sponsor introductory remarks on measure. (CR H1749-1750)'}",292,House,"Condemning the expulsion of two Black, duly elected Tennessee Representatives as a blatant act of racism and an attack on the democracy of the United States and observing that the Tennessee House of Representatives preferred to take this action of expulsion rather than to act on gun control measures to protect children.",HRES,2023-07-28,2023-07-28T19:44:18Z
"{'actionDate': '2023-04-07', 'text': 'Referred to the Subcommittee on Health.'}",2390,House,Gun Violence Prevention Research Act of 2023,HR,2023-07-28,2023-07-28T19:44:18Z
"{'actionDate': '2023-03-30', 'text': 'Referred to the House Committee on the Judiciary.'}",2418,House,Gun Trafficker Detection Act,HR,2023-07-28,2023-07-28T20:09:28Z
"{'actionDate': '2023-03-29', 'text': 'Read twice and referred to the Committee on Health, Education, Labor, and Pensions.'}",1026,Senate,Gun Violence Prevention Research Act of 2023,S,2023-07-28,2023-07-28T20:15:31Z
"{'actionDate': '2023-03-29', 'text': 'Referred to the House Committee on the Judiciary.'}",2392,House,Pause for Gun Safety Act,HR,2023-07-28,2023-07-28T20:09:25Z
"{'actionDate': '2023-03-22', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",951,Senate,Office of Gun Violence Prevention Act of 2023,S,2023-07-28,2023-07-28T20:15:26Z
"{'actionDate': '2023-03-22', 'text': 'Referred to the House Committee on the Judiciary.'}",1699,House,Office of Gun Violence Prevention Act of 2023,HR,2023-07-28,2023-07-28T20:08:33Z
"{'actionDate': '2023-03-10', 'text': 'Referred to the Subcommittee on Innovation, Data, and Commerce.'}",1258,House,Protecting Gun Rights and Due Process Act,HR,2023-07-28,2023-07-28T19:44:18Z
"{'actionDate': '2023-03-09', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",741,Senate,Traveler's Gun Rights Act,S,2023-07-28,2023-07-28T20:15:03Z
"{'actionDate': '2023-03-09', 'text': 'Referred to the House Committee on the Judiciary.'}",1508,House,Traveler’s Gun Rights Act,HR,2023-07-28,2023-07-28T20:08:13Z
"{'actionDate': '2023-03-03', 'text': 'Referred to the House Committee on the Judiciary.'}",1361,House,Safer Neighborhoods Gun Buyback Act of 2023,HR,2023-07-28,2023-07-28T20:07:59Z
"{'actionDate': '2023-03-01', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",598,Senate,Gun Records Restoration and Preservation Act,S,2023-07-28,2023-07-28T20:14:51Z
"{'actionDate': '2023-03-01', 'text': 'Referred to the House Committee on the Judiciary.'}",1271,House,No Retaining Every Gun In a System That Restricts Your Rights Act,HR,2023-07-28,2023-07-28T20:07:48Z
"{'actionDate': '2023-03-01', 'text': 'Referred to the House Committee on the Judiciary.'}",1302,House,Gun Records Restoration and Preservation Act,HR,2023-07-28,2023-07-28T20:07:51Z
"{'actionDate': '2023-02-21', 'text': 'Referred to the House Committee on the Judiciary.'}",1145,House,"Safe Guns, Safe Kids Act",HR,2023-07-28,2023-07-28T20:07:35Z
"{'actionDate': '2023-02-17', 'text': 'Referred to the House Committee on Oversight and Accountability.'}",1095,House,AR–15 National Gun Act,HR,2023-07-28,2023-07-28T20:07:30Z
"{'actionDate': '2023-02-09', 'text': 'Referred to the House Committee on the Judiciary.'}",962,House,Protecting Gun Owners in Bankruptcy Act of 2023,HR,2023-07-28,2023-07-28T20:07:19Z
"{'actionDate': '2023-02-06', 'text': 'Referred to the House Committee on the Judiciary.'}",850,House,"To direct the Attorney General to conduct a study on the efficacy of extreme risk protection orders on reducing gun violence, and for other purposes.",HR,2023-07-28,2023-07-28T20:07:07Z
"{'actionDate': '2023-02-02', 'text': 'Read twice and referred to the Committee on Commerce, Science, and Transportation.'}",252,Senate,Protecting Kids from Gun Marketing Act,S,2023-07-28,2023-07-28T20:14:23Z
"{'actionDate': '2023-02-01', 'text': 'Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S205)'}",203,Senate,Crime Gun Tracing Modernization Act of 2023,S,2023-07-28,2023-07-28T19:44:18Z
"{'actionDate': '2023-02-01', 'text': 'Referred to the House Committee on the Judiciary.'}",730,House,Crime Gun Tracing Modernization Act of 2023,HR,2023-07-28,2023-07-28T20:06:54Z
"{'actionDate': '2023-01-30', 'text': 'Referred to the House Committee on the Judiciary.'}",641,House,For the relief of Reverend Olusegun Samson Olaoye.,HR,2023-07-28,2023-07-28T20:06:47Z
"{'actionDate': '2023-01-26', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",117,Senate,Handgun Permit to Purchase Act,S,2023-07-28,2023-07-28T20:14:07Z
"{'actionDate': '2023-01-26', 'text': 'Referred to the House Committee on the Judiciary.'}",569,House,Handgun Permit to Purchase Act,HR,2023-07-28,2023-07-28T20:06:41Z
"{'actionDate': '2023-01-17', 'text': 'Referred to the Committee on Ways and Means, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.'}",385,House,No User Fees for Gun Owners Act,HR,2023-07-28,2023-07-28T20:06:24Z
"{'actionDate': '2023-01-09', 'text': 'Referred to the House Committee on the Judiciary.'}",48,House,Gun Violence Reduction Resources Act of 2023,HR,2023-07-28,2023-07-28T20:05:50Z
"{'actionDate': '2023-01-09', 'text': 'Referred to the Committee on Energy and Commerce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.'}",46,House,Mental Health Access and Gun Violence Prevention Act of 2023,HR,2023-07-28,2023-07-28T20:05:50Z
"{'actionDate': '2022-12-20', 'text': 'Referred to the Committee on the Judiciary, and in addition to the Committees on Ways and Means, and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.'}",9624,House,Gun Violence Prevention and Community Safety Act of 2022,HR,2023-02-09,2023-02-09T15:15:32Z
"{'actionDate': '2022-12-19', 'text': 'Read twice and referred to the Committee on Finance.'}",5299,Senate,Gun Violence Prevention and Community Safety Act of 2022,S,2023-02-09,2023-02-09T15:15:33Z
"{'actionDate': '2022-12-13', 'text': 'Placed on the House Calendar, Calendar No. 164.'}",1478,House,"Calling for the submission to the House of Representatives of certain information regarding the decision of the President of the United States to institute the ""Ghost Gun"" Rule.",HRES,2023-03-08,2023-03-08T19:59:14Z
"{'actionDate': '2022-12-12', 'text': 'Placed on the House Calendar, Calendar No. 160.'}",1479,House,"Of inquiry requesting the President transmit certain documents in his possession to the House of Representatives relating to the surveillance or monitoring of pro-gun, pro-life, or conservative groups under the Internet Covert Operations Program operated by the United States Postal Inspection Service.",HRES,2023-08-04,2023-08-04T12:45:19Z
"{'actionDate': '2022-11-16', 'text': 'Committee on Indian Affairs. Hearings held.'}",4898,Senate,Pueblos of Acoma and Laguna Water Rights Settlement Act of 2022,S,2023-01-05,2023-01-05T05:16:31Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",1144,House,"Expressing support for the designation of June 3, 2022, as ""National Gun Violence Awareness Day"" and June 2022 as ""National Gun Violence Awareness Month"".",HRES,2022-12-29,2022-12-29T16:33:53Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",7544,House,"To provide a private right of action against the maker of any component of a ghost gun, and any person who facilitated a sale of the ghost gun, for injury or death resulting from the use of the ghost gun.",HR,2022-12-29,2022-12-29T23:18:23Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Antitrust, Commercial, and Administrative Law.'}",7493,House,Protecting Gun Owners in Bankruptcy Act of 2022,HR,2022-12-29,2022-12-29T23:03:23Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",7466,House,Traveler's Gun Rights Act,HR,2022-12-29,2022-12-29T23:03:24Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",7366,House,No User Fees for Gun Owners Act,HR,2022-12-29,2022-12-29T23:03:27Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",437,House,"Expressing support for the designation of June 4, 2021, as ""National Gun Violence Awareness Day"" and June 2021 as ""National Gun Violence Awareness Month"".",HRES,2023-01-11,2023-01-11T13:49:26Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",3536,House,Crime Gun Tracing Modernization Act of 2021,HR,2023-01-11,2023-01-11T13:49:33Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",6950,House,No Gun Lists Act of 2022,HR,2023-08-08,2023-08-08T15:30:25Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",6945,House,No Retaining Every Gun In a System That Restricts Your Rights Act,HR,2022-12-29,2022-12-29T21:48:15Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",5245,House,Gun Trafficker Detection Act,HR,2023-08-03,2023-08-03T14:45:22Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",6817,House,No Backdoor Gun Control Act of 2022,HR,2022-12-30,2022-12-30T04:33:55Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",6717,House,Preventing Pretrial Gun Purchases Act,HR,2023-08-07,2023-08-07T16:00:29Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Immigration and Citizenship.'}",6652,House,For the relief of Reverend Olusegun Samson Olaoye.,HR,2023-07-07,2023-07-07T17:00:24Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",6639,House,Protect Children Through Safe Gun Ownership Act,HR,2022-12-30,2022-12-30T04:18:58Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",6575,House,Protecting Americans from Gun Violence Act of 2022,HR,2022-12-30,2022-12-30T04:18:59Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",6370,House,"Safe Guns, Safe Kids Act",HR,2023-05-22,2023-05-22T19:30:29Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",4804,House,Unlawful Gun Buyer Alert Act,HR,2022-12-31,2022-12-31T05:04:31Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",4423,House,Gun Theft Prevention Act,HR,2023-03-08,2023-03-08T19:58:55Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",4271,House,Keeping Gun Dealers Honest Act of 2021,HR,2022-12-31,2022-12-31T04:58:14Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",4225,House,3D Printed Gun Safety Act of 2021,HR,2022-12-31,2022-12-31T04:58:27Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",9001,House,Reduce Gun Violence Act of 2022,HR,2022-12-29,2022-12-29T12:33:45Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",8957,House,Gun Violence Prevention and Safe Communities Act of 2022,HR,2022-12-29,2022-12-29T12:33:46Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",5878,House,End Gun Violence Act of 2021,HR,2023-08-03,2023-08-03T18:15:21Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",3740,House,Handgun Licensing and Registration Act of 2021,HR,2022-12-30,2022-12-30T17:32:55Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",8534,House,Responsible Gun Ownership Licensing Act,HR,2022-12-29,2022-12-29T18:18:43Z
"{'actionDate': '2022-11-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",8278,House,"To direct the Attorney General to conduct a study on the efficacy of extreme risk protection orders on reducing gun violence, and for other purposes.",HR,2023-04-24,2023-04-24T20:00:26Z
"{'actionDate': '2022-10-26', 'text': 'Referred to the Subcommittee on Health.'}",9227,House,Local Gun Violence Reduction Act,HR,2023-07-31,2023-07-31T12:45:19Z
"{'actionDate': '2022-09-20', 'text': 'Referred to the House Committee on Natural Resources.'}",8920,House,Pueblos of Acoma and Laguna Water Rights Settlement Act of 2022,HR,2023-01-19,2023-01-19T13:45:30Z
"{'actionDate': '2022-07-26', 'text': 'Placed on the Union Calendar, Calendar No. 340.'}",2814,House,Equal Access to Justice for Victims of Gun Violence Act of 2022,HR,2023-03-08,2023-03-08T20:11:56Z
"{'actionDate': '2022-06-21', 'text': 'Referred to the House Committee on Energy and Commerce.'}",1192,House,"Expressing support for the designation of June 21, 2022, as National ASK (Asking Saves Kids) Day to promote children's health and safe storage of guns in the home.",HRES,2022-12-29,2022-12-29T17:33:54Z
"{'actionDate': '2022-06-09', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",4376,Senate,Stop Gun Criminals Act,S,2022-12-29,2022-12-29T17:33:52Z
"{'actionDate': '2022-06-09', 'text': 'Referred to the House Committee on Energy and Commerce.'}",1165,House,Declaring gun violence a public health crisis.,HRES,2022-12-29,2022-12-29T17:33:55Z
"{'actionDate': '2022-06-08', 'actionTime': '14:34:55', 'text': 'Motion to reconsider laid on the table Agreed to without objection.'}",1153,House,"Providing for consideration of the bill (H.R. 2377) to authorize the issuance of extreme risk protection orders; providing for consideration of the bill (H.R. 7910) to amend title 18, United States Code, to provide for an increased age limit on the purchase of certain firearms, prevent gun trafficking, modernize the prohibition on untraceable firearms, encourage the safe storage of firearms, and for other purposes; and for other purposes.",HRES,2023-03-08,2023-03-08T20:26:42Z
"{'actionDate': '2022-05-26', 'text': 'Referred to the Committee on the Judiciary. (text: CR S2755-2756)'}",651,Senate,"A resolution expressing support for the designation of June 3, 2022, as ""National Gun Violence Awareness Day"" and June 2022 as ""National Gun Violence Awareness Month"".",SRES,2022-12-29,2022-12-29T17:03:54Z
"{'actionDate': '2022-05-17', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",4238,Senate,Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking and Crime Prevention Act of 2022,S,2022-12-29,2022-12-29T16:48:36Z
"{'actionDate': '2022-05-05', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",4149,Senate,Preventing Pretrial Gun Purchases Act,S,2022-12-29,2022-12-29T16:33:52Z
