latestAction,number,originChamber,title,type,updateDate,updateDateIncludingText
"{'actionDate': '2018-12-13', 'text': 'Referred to the House Committee on the Judiciary.'}",7310,House,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to authorize the Attorney General to make grants to States and units of local government to deploy and implement gunfire detection and location technology, and for other purposes.",HR,2023-01-11,2023-01-11T13:40:47Z
"{'actionDate': '2018-12-12', 'text': 'Referred to the House Committee on the Judiciary.'}",7274,House,Keeping Guns From Criminals Act,HR,2023-01-11,2023-01-11T13:40:49Z
"{'actionDate': '2018-12-06', 'text': 'Referred to the House Committee on the Judiciary.'}",7219,House,No Guns for Terrorists Act of 2018,HR,2023-01-11,2023-01-11T13:40:51Z
"{'actionDate': '2018-10-09', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",6654,House,To prohibit the transfer of a firearm at a gun show by a person who is not a licensed dealer.,HR,2023-01-11,2023-01-11T13:41:44Z
"{'actionDate': '2018-10-09', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",6649,House,3D Printed Gun Safety Act of 2018,HR,2023-01-11,2023-01-11T13:41:44Z
"{'actionDate': '2018-10-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",6629,House,No Guns for Abusers Act of 2018,HR,2023-01-11,2023-01-11T13:41:53Z
"{'actionDate': '2018-09-25', 'text': 'Referred to the Committee on the Judiciary, and in addition to the Committees on Education and the Workforce, and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.'}",1076,House,Encouraging the House of Representatives to pass laws to prevent gun violence.,HRES,2023-01-11,2023-01-11T13:41:24Z
"{'actionDate': '2018-08-06', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",6278,House,AVERT Future Gun Violence Act,HR,2023-01-11,2023-01-11T13:42:16Z
"{'actionDate': '2018-08-02', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",127,House,Condemning gun violence and its impact on youth by supporting the enactment of legislation to prevent future school and neighborhood shootings.,HCONRES,2023-01-11,2023-01-11T13:42:25Z
"{'actionDate': '2018-07-31', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",3304,Senate,3D Printed Gun Safety Act of 2018,S,2023-01-11,2023-01-11T13:41:46Z
"{'actionDate': '2018-07-30', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",6075,House,Keeping Gun Dealers Honest Act of 2018,HR,2023-01-11,2023-01-11T13:42:22Z
"{'actionDate': '2018-07-24', 'text': 'Referred to the Subcommittee on Immigration and Border Security.'}",920,House,"Expressing support for the designation of June as National Gun Violence Awareness Month, and calling on Congress to address gun violence.",HRES,2023-01-11,2023-01-11T13:42:15Z
"{'actionDate': '2018-07-12', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",3211,Senate,Keeping Gun Dealers Honest Act of 2018,S,2023-01-11,2023-01-11T13:41:49Z
"{'actionDate': '2018-06-26', 'text': 'Read twice and referred to the Committee on Homeland Security and Governmental Affairs.'}",3135,Senate,Gun Owner Registration Information Protection Act,S,2023-01-11,2023-01-11T13:42:07Z
"{'actionDate': '2018-06-21', 'text': 'Referred to the House Committee on Energy and Commerce.'}",125,House,Expressing support for the designation of June 21 as National ASK (Asking Saves Kids) Day to promote children's health and safe storage of guns in the home.,HCONRES,2023-01-11,2023-01-11T13:42:25Z
"{'actionDate': '2018-06-05', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",913,House,"Expressing support for the goals and ideals of June 1 through June 3, 2018 as ""National Gun Violence Awareness Weekend"" and June 2018 as ""National Gun Violence Awareness Month"".",HRES,2023-01-11,2023-01-11T13:42:33Z
"{'actionDate': '2018-06-05', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",5941,House,Child Gun Access Prevention Act,HR,2023-01-11,2023-01-11T13:39:26Z
"{'actionDate': '2018-05-24', 'text': 'Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S2935-2936)'}",2974,Senate,Crime Gun Tracing Modernization Act,S,2023-01-11,2023-01-11T13:42:27Z
"{'actionDate': '2018-05-24', 'text': 'Referred to the Committee on the Judiciary. (text of measure as introduced: CR S2937-2938)'}",524,Senate,"A resolution expressing support for the designation of June 1 through June 3, 2018 as ""National Gun Violence Awareness Weekend"" and June 2018 as ""National Gun Violence Awareness Month"".",SRES,2023-01-11,2023-01-11T13:42:26Z
"{'actionDate': '2018-05-22', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",5607,House,Handgun Licensing and Registration Act of 2018,HR,2023-01-11,2023-01-11T13:39:48Z
"{'actionDate': '2018-05-22', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",5657,House,Gladys Ricart Gun Offender Registry Act,HR,2023-01-11,2023-01-11T13:39:46Z
"{'actionDate': '2018-05-21', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",5490,House,Handgun Purchaser Licensing Act,HR,2023-01-11,2023-01-11T13:39:52Z
"{'actionDate': '2018-04-12', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2662,Senate,Handgun Purchaser Licensing Act,S,2023-01-11,2023-01-11T13:39:42Z
"{'actionDate': '2018-04-06', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",5163,House,Keeping Guns from High-Risk Individuals Act,HR,2023-01-11,2023-01-11T13:40:21Z
"{'actionDate': '2018-03-23', 'text': 'Became Public Law No: 115-146.'}",2815,House,"To designate the facility of the United States Postal Service located at 30 East Somerset Street in Raritan, New Jersey, as the ""Gunnery Sergeant John Basilone Post Office"".",HR,2023-03-22,2023-03-22T19:50:52Z
"{'actionDate': '2018-03-14', 'text': 'Committee on the Judiciary. Hearings held.'}",1916,Senate,Automatic Gunfire Prevention Act,S,2023-01-11,2023-01-11T13:38:18Z
"{'actionDate': '2018-03-14', 'text': 'Committee on the Judiciary. Hearings held.'}",1212,Senate,Gun Violence Prevention Order Act of 2017,S,2023-01-11,2023-01-11T13:36:24Z
"{'actionDate': '2018-03-09', 'text': 'Referred to the Subcommittee on Health.'}",5161,House,To require the Surgeon General of the Public Health Service to submit to Congress an annual report on the effects of gun violence on public health.,HR,2023-01-11,2023-01-11T13:40:21Z
"{'actionDate': '2018-03-05', 'text': 'Referred to the Subcommittee on Federal Lands.'}",5103,House,Gun Violence Prevention and Safe Communities Act of 2018,HR,2023-01-11,2023-01-11T13:40:30Z
"{'actionDate': '2018-02-27', 'text': 'Referred to the House Committee on Financial Services.'}",5106,House,Investor Choice Against Gun Proliferation Act,HR,2023-01-11,2023-01-11T13:40:30Z
"{'actionDate': '2017-12-15', 'text': 'Referred to the House Committee on Rules.'}",666,House,Amending the Rules of the House of Representatives to observe a 60-second moment of silence in the House for those killed by gun violence in the United States on the next legislative day after any such individual dies.,HRES,2023-01-11,2023-01-11T13:39:10Z
"{'actionDate': '2017-12-13', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4343,House,Unlawful Gun Buyer Alert Act,HR,2023-01-11,2023-01-11T13:38:02Z
"{'actionDate': '2017-12-08', 'text': 'Referred to the Subcommittee on Health.'}",4573,House,Gun Violence Research Act of 2017,HR,2023-01-11,2023-01-11T13:39:18Z
"{'actionDate': '2017-11-27', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2161,Senate,Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking and Crime Prevention Act of 2017,S,2023-01-11,2023-01-11T13:39:21Z
"{'actionDate': '2017-11-17', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4192,House,Domestic Violence Gun Homicide Prevention Act of 2017,HR,2023-01-11,2023-01-11T13:38:20Z
"{'actionDate': '2017-11-07', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4268,House,Gun Safety: Not Sorry Act of 2017,HR,2023-01-11,2023-01-11T13:38:06Z
"{'actionDate': '2017-10-31', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2045,Senate,Domestic Violence Gun Homicide Prevention Act of 2017,S,2023-01-11,2023-01-11T13:38:12Z
"{'actionDate': '2017-10-19', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4018,House,"To provide for a 3-day waiting period before a person may receive a handgun, with exceptions.",HR,2023-01-11,2023-01-11T13:38:26Z
"{'actionDate': '2017-10-19', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",3999,House,"To amend title 18, United States Code, to prohibit the manufacture, possession, or transfer of any part or combination of parts that is designed and functions to increase the rate of fire of a semiautomatic rifle but does not convert the semiautomatic rifle into a machinegun, and for other purposes.",HR,2023-01-11,2023-01-11T13:38:27Z
"{'actionDate': '2017-10-19', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",3987,House,Protecting Americans from Gun Violence Act of 2017,HR,2023-01-11,2023-01-11T13:38:28Z
"{'actionDate': '2017-10-16', 'text': 'Referred to the Subcommittee on the Constitution and Civil Justice.'}",3984,House,Equal Access to Justice for Victims of Gun Violence Act,HR,2023-01-11,2023-01-11T13:38:28Z
"{'actionDate': '2017-10-05', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",1939,Senate,Equal Access to Justice for Victims of Gun Violence Act,S,2023-01-11,2023-01-11T13:38:17Z
"{'actionDate': '2017-10-04', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",3947,House,Automatic Gunfire Prevention Act,HR,2023-01-11,2023-01-11T13:38:29Z
"{'actionDate': '2017-10-04', 'text': 'Read twice and referred to the Committee on Commerce, Science, and Transportation.'}",1915,Senate,Handgun Trigger Safety Act of 2017,S,2023-01-11,2023-01-11T13:38:18Z
"{'actionDate': '2017-09-06', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",3613,House,Safer Neighborhoods Gun Buyback Act of 2017,HR,2023-01-11,2023-01-11T13:37:12Z
"{'actionDate': '2017-07-12', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2784,House,Good Neighbor Gun Dealer Act,HR,2023-01-11,2023-01-11T13:37:54Z
"{'actionDate': '2017-07-10', 'text': 'Referred to the Subcommittee on Regulatory Reform, Commercial And Antitrust Law.'}",2980,House,Protecting Gun Owners in Bankruptcy Act of 2017,HR,2023-01-11,2023-01-11T13:37:47Z
"{'actionDate': '2017-07-10', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2951,House,"To allow Members of Congress to carry a concealed handgun anywhere in the United States, with exceptions.",HR,2023-01-11,2023-01-11T13:37:49Z
"{'actionDate': '2017-06-26', 'text': 'Referred to the House Committee on Oversight and Government Reform.'}",66,House,Expressing support for the designation of June 21 as National ASK (Asking Saves Kids) Day to promote children's health and gun safety.,HCONRES,2023-01-11,2023-01-11T13:36:20Z
"{'actionDate': '2017-06-23', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",373,House,"Expressing support for the designation of June 2017 as ""National Gun Violence Awareness Month"" and calling on Congress to address gun violence.",HRES,2023-01-11,2023-01-11T13:37:41Z
"{'actionDate': '2017-06-07', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",361,House,"Supporting the goals and ideals of ""National Gun Violence Awareness Day"" and ""National Gun Violence Awareness Month"".",HRES,2023-01-11,2023-01-11T13:36:32Z
"{'actionDate': '2017-06-07', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2380,House,Handgun Trigger Safety Act of 2017,HR,2023-01-11,2023-01-11T13:36:48Z
"{'actionDate': '2017-05-26', 'text': 'Referred to the House Committee on Rules.'}",370,House,Amending the Rules of the House of Representatives to require that a standing committee (or subcommittee thereof) hearing be held whenever there is a moment of silence in the House for a tragedy involving gun violence.,HRES,2023-01-11,2023-01-11T13:36:32Z
"{'actionDate': '2017-05-25', 'text': 'Read twice and referred to the Committee on Energy and Natural Resources.'}",1263,Senate,Atlantic Seismic Airgun Protection Act,S,2023-01-11,2023-01-11T13:36:23Z
"{'actionDate': '2017-05-25', 'text': 'Referred to the Committee on the Judiciary. (text of measure as introduced: CR S3223)'}",179,Senate,"A resolution expressing support for the designation of June 2, 2017, as ""National Gun Violence Awareness Day"" and June 2017 as ""National Gun Violence Awareness Month"".",SRES,2023-01-11,2023-01-11T13:36:20Z
"{'actionDate': '2017-05-25', 'text': 'Referred to the House Committee on Rules.'}",367,House,Establishing the Select Committee on Gun Violence Prevention.,HRES,2023-01-11,2023-01-11T13:36:32Z
"{'actionDate': '2017-05-23', 'text': 'Referred to the House Committee on the Judiciary.'}",2598,House,Gun Violence Restraining Order Act of 2017,HR,2023-01-11,2023-01-11T13:36:40Z
"{'actionDate': '2017-05-02', 'text': 'Referred to the Subcommittee on Energy and Mineral Resources.'}",2158,House,Atlantic Seismic Airgun Protection Act,HR,2023-01-11,2023-01-11T13:35:56Z
"{'actionDate': '2017-05-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",1982,House,Mental Health Access and Gun Violence Prevention Act of 2017,HR,2023-01-11,2023-01-11T13:36:03Z
"{'actionDate': '2017-04-05', 'text': 'Read twice and referred to the Committee on Health, Education, Labor, and Pensions.'}",834,Senate,A bill to authorize the appropriation of funds to the Centers for Disease Control and Prevention for conducting or supporting research on firearms safety or gun violence prevention.,S,2023-01-11,2023-01-11T13:36:59Z
"{'actionDate': '2017-03-31', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",1612,House,Gun Show Loophole Closing Act of 2017,HR,2023-01-11,2023-01-11T13:35:35Z
"{'actionDate': '2017-03-31', 'text': 'Referred to the Subcommittee on Health.'}",1832,House,To authorize the appropriation of funds to the Centers for Disease Control and Prevention for conducting or supporting research on firearms safety or gun violence prevention.,HR,2023-01-11,2023-01-11T13:35:27Z
"{'actionDate': '2017-03-21', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",1475,House,Gun Trafficking Prevention Act of 2017,HR,2023-01-11,2023-01-11T13:35:40Z
"{'actionDate': '2017-03-16', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",1278,House,Ghost Guns Are Guns Act,HR,2023-01-11,2023-01-11T13:35:47Z
"{'actionDate': '2017-03-10', 'text': 'Referred to the Subcommittee on Health.'}",1478,House,Gun Violence Research Act,HR,2023-01-11,2023-01-11T13:35:40Z
"{'actionDate': '2017-02-15', 'text': 'Referred to the House Committee on Education and the Workforce.'}",1079,House,Campus Gun Policy Transparency Act,HR,2023-01-11,2023-01-11T13:35:11Z
"{'actionDate': '2017-02-10', 'text': 'Referred to the Subcommittee on Health.'}",90,House,"Expressing the sense of the House of Representatives that gun violence is a public health issue and Congress should enact by the end of the 115th Congress comprehensive Federal legislation that protects the Second Amendment and keeps communities safe and healthy, including expanding enforceable background checks for all commercial gun sales, improving the mental health system in the United States, and making gun trafficking and straw purchasing a Federal crime.",HRES,2023-01-11,2023-01-11T13:34:52Z
"{'actionDate': '2017-01-13', 'text': 'Referred to the Subcommittee on the Constitution and Civil Justice.'}",163,House,Gun Manufacturers Accountability Act,HR,2023-01-11,2023-01-11T13:34:37Z
"{'actionDate': '2017-01-12', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",62,House,Gun Violence Reduction Resources Act of 2017,HR,2023-01-11,2023-01-11T13:34:19Z
"{'actionDate': '2016-12-16', 'text': 'Became Public Law No: 114-305.'}",5889,House,"To designate the facility of the United States Postal Service located at 1 Chalan Kanoa VLG in Saipan, Northern Mariana Islands, as the ""Segundo T. Sablan and CNMI Fallen Military Heroes Post Office Building"".",HR,2023-04-24,2023-04-24T20:39:47Z
"{'actionDate': '2016-09-27', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",6052,House,Preventing Gun Violence Act,HR,2023-01-11,2023-01-11T13:33:47Z
"{'actionDate': '2016-09-08', 'text': 'Referred to the House Committee on Education and the Workforce.'}",5965,House,Campus Gun Policy Transparency Act,HR,2023-01-11,2023-01-11T13:33:51Z
"{'actionDate': '2016-08-10', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",5863,House,SMART Guns Act of 2016,HR,2023-01-11,2023-01-11T13:33:21Z
"{'actionDate': '2016-08-04', 'text': 'Referred to the Subcommittee on Energy and Mineral Resources.'}",5817,House,Atlantic Seismic Airgun Protection Act,HR,2023-01-11,2023-01-11T13:33:22Z
"{'actionDate': '2016-06-24', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",5532,House,Unlawful Gun Buyer Alert Act,HR,2023-01-11,2023-01-11T13:32:45Z
"{'actionDate': '2016-06-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",753,House,"Expressing support for the designation of June 2, 2016, as ""National Gun Violence Awareness Day"" and June 2016 as ""National Gun Violence Awareness Month"".",HRES,2023-01-11,2023-01-11T13:32:56Z
"{'actionDate': '2016-05-25', 'text': 'Referred to the Committee on the Judiciary. (text of measure as introduced: CR S3176-3177)'}",478,Senate,"A resolution expressing support for the designation of June 2, 2016, as ""National Gun Violence Awareness Day"" and June 2016 as ""National Gun Violence Awareness Month"".",SRES,2023-01-11,2023-01-11T13:32:51Z
"{'actionDate': '2016-05-17', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",5080,House,Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking and Crime Prevention Act of 2016,HR,2023-01-11,2023-01-11T13:31:33Z
"{'actionDate': '2016-05-17', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",5034,House,"To nullify any generalized, routine or ongoing reporting requirement imposed on a person licensed under section 923 of title 18, United States Code, that is based on the geographic location in which the licensee is located or on the sale of multiple rifles or shotguns, or any specific type of rifle or shotgun, to the same person.",HR,2023-01-11,2023-01-11T13:31:35Z
"{'actionDate': '2016-05-16', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2934,Senate,Fix Gun Checks Act of 2016,S,2023-01-11,2023-01-11T13:32:54Z
"{'actionDate': '2016-04-21', 'text': 'Read twice and referred to the Committee on Energy and Natural Resources.'}",2841,Senate,Atlantic Seismic Airgun Protection Act,S,2023-01-11,2023-01-11T13:33:08Z
"{'actionDate': '2016-04-20', 'text': 'Referred to the House Committee on Rules.'}",694,House,Amending the Rules of the House of Representatives to require that a standing committee (or subcommittee thereof) hearing be held whenever there is a moment of silence in the House for a tragedy involving gun violence.,HRES,2023-01-11,2023-01-11T13:31:29Z
"{'actionDate': '2016-04-14', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2802,Senate,Protecting Gun Rights and Due Process Act,S,2023-01-11,2023-01-11T13:31:25Z
"{'actionDate': '2016-04-01', 'text': 'Referred to the Subcommittee on the Constitution and Civil Justice.'}",656,House,"Expressing the sense of the House of Representatives that the Senate should not confirm a nominee to the United States Supreme Court whose professional record or statements display opposition to the Second Amendment freedoms of law-abiding gun owners, including the fundamental, individual right to keep and bear arms as affirmed in the District of Columbia et al. v. Heller and McDonald et al. v. City of Chicago, Illinois, et al. cases.",HRES,2023-01-11,2023-01-11T13:31:47Z
"{'actionDate': '2016-03-23', 'text': 'Referred to the Subcommittee on Early Childhood, Elementary, and Secondary Education.'}",4214,House,Gun Violence Prevention and Safe Communities Act of 2015,HR,2023-01-11,2023-01-11T13:32:28Z
"{'actionDate': '2016-02-29', 'text': 'Referred to the Subcommittee on the Constitution and Civil Justice.'}",4399,House,Equal Access to Justice for Victims of Gun Violence Act,HR,2023-01-11,2023-01-11T13:32:13Z
"{'actionDate': '2016-02-25', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2594,Senate,A bill to provide for the discoverability and admissibility of gun trace information in civil proceedings.,S,2023-01-11,2023-01-11T13:31:58Z
"{'actionDate': '2016-02-03', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4379,House,Defending Gun Rights Against Executive Overreach Act,HR,2023-01-11,2023-01-11T13:32:16Z
"{'actionDate': '2016-02-03', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4356,House,Crackdown on Deadbeat Gun Dealers Act of 2016,HR,2023-01-11,2023-01-11T13:32:17Z
"{'actionDate': '2016-02-03', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4316,House,Gun Violence Reduction Resources Act of 2016,HR,2023-01-11,2023-01-11T13:32:19Z
"{'actionDate': '2016-01-15', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4278,House,Safer Neighborhoods Gun Buyback Act of 2015,HR,2023-01-11,2023-01-11T13:32:26Z
"{'actionDate': '2016-01-15', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4145,House,"To require the Comptroller General of the United States to conduct a study of, and report to the Congress on, secure gun storage or safety devices.",HR,2023-01-11,2023-01-11T13:32:31Z
"{'actionDate': '2016-01-08', 'text': 'Referred to the Subcommittee on Health.'}",4315,House,Mental Health Access and Gun Violence Prevention Act of 2016,HR,2023-01-11,2023-01-11T13:32:19Z
"{'actionDate': '2015-12-04', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",541,House,"Expressing support for designation of June 2016 as ""National Gun Violence Awareness Month"".",HRES,2023-01-11,2023-01-11T13:29:18Z
"{'actionDate': '2015-12-04', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4069,House,No Guns for Terrorists Act of 2015,HR,2023-01-11,2023-01-11T13:29:22Z
